batch_id,grade,id,dimension,band,difficulty_rank,template_family,question_text,option_A,option_B,option_C,option_D,correct_answer,explanation_step_1,explanation_step_2,explanation_step_3,final_answer,time_target_sec,solution_type,solution_data,explanation
ADAPT_G6-8_BANK_400,6,G6_Q1,QR,A1,2,arith_add,What is 23 + 45?,75,71,68,66,C,Step 1: Add 23 and 45.,Step 2: 23 + 45 = 68.,,68,45,arithmetic,operation=addition;operands=23|45;result=68,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 68."
ADAPT_G6-8_BANK_400,6,G6_Q2,QR,A1,1,arith_add,What is 89 + 21?,108,113,110,117,C,Step 1: Add 89 and 21.,Step 2: 89 + 21 = 110.,,110,45,arithmetic,operation=addition;operands=89|21;result=110,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 110."
ADAPT_G6-8_BANK_400,6,G6_Q3,QR,A1,2,arith_sub,What is 69 ? 26?,45,50,40,43,D,Step 1: Subtract 26 from 69.,Step 2: 69 ? 26 = 43.,,43,45,arithmetic,operation=subtraction;operands=69|26;result=43,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 43."
ADAPT_G6-8_BANK_400,6,G6_Q4,QR,A1,2,arith_div,What is 66 ÷ 6?,12,10,11,13,C,Step 1: Divide 66 by 6.,Step 2: 66 ÷ 6 = 11.,,11,45,arithmetic,operation=division;operands=66|6;result=11,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 11."
ADAPT_G6-8_BANK_400,6,G6_Q5,QR,A1,1,arith_div,What is 64 ÷ 8?,10,7,8,9,C,Step 1: Divide 64 by 8.,Step 2: 64 ÷ 8 = 8.,,8,45,arithmetic,operation=division;operands=64|8;result=8,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 8."
ADAPT_G6-8_BANK_400,6,G6_Q6,QR,A1,1,arith_add,What is 68 + 22?,90,97,88,93,A,Step 1: Add 68 and 22.,Step 2: 68 + 22 = 90.,,90,45,arithmetic,operation=addition;operands=68|22;result=90,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 90."
ADAPT_G6-8_BANK_400,6,G6_Q7,QR,A2,4,percent_of,What is 10% of 120?,17,14,12,9,C,Step 1: Convert 10% to a fraction/decimal.,Step 2: 10% of 120 = 12.,,12,60,percent,percent=10;base=120;result=12,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 12."
ADAPT_G6-8_BANK_400,6,G6_Q8,QR,A2,3,unit_conv,A rope is 6 meters long. How many centimeters is that?,650,600,6000,60,B,Step 1: 1 meter = 100 centimeters.,Step 2: 6 × 100 = 600 centimeters.,,600,60,arithmetic,operation=unit_conversion;meters=6;cm_per_m=100;result=600,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 600."
ADAPT_G6-8_BANK_400,6,G6_Q9,QR,A2,3,decimal_add,What is 5.9 + 2.8?,8.9,8.6,9.2,8.7,D,Step 1: Add the decimals.,Step 2: 5.9 + 2.8 = 8.7.,,8.7,60,arithmetic,operation=decimal_addition;operands=5.9|2.8;result=8.7,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 8.7."
ADAPT_G6-8_BANK_400,6,G6_Q10,QR,A2,4,ratio_missing,"The ratio of boys to girls is 5:4. If there are 25 boys, how many girls are there?",30,20,25,15,B,"Step 1: 5 parts = 25, so 1 part = 5.",Step 2: Girls = 4 parts = 4 × 5 = 20.,,20,60,ratio,ratio=5|4;given_boys=25;result=20,"Step 1: Carefully analyze the problem and identify the rule or logic required.
Step 2: Apply the reasoning step by step to reach the correct solution.
Step 3: After applying the logic correctly, we determine the correct option.

Therefore, the correct answer is Option : 20."
